No.	Fokus		Waktu
714,	LEFT		10:34:16;64947
715,	LEFT		10:34:16;64963
716,	LEFT		10:34:17;64981
717,	LEFT		10:34:17;65001
718,	LEFT		10:34:17;65017
719,	LEFT		10:34:17;65052
720,	LEFT		10:34:17;65064
721,	LEFT		10:34:17;65080
722,	LEFT		10:34:17;65102
723,	LEFT		10:34:17;65116
724,	LEFT		10:34:17;65132
725,	LEFT		10:34:17;65151
726,	LEFT		10:34:17;65166
727,	LEFT		10:34:17;65183
728,	LEFT		10:34:17;65202
729,	LEFT		10:34:17;65217
730,	LEFT		10:34:17;65234
731,	LEFT		10:34:17;65253
732,	LEFT		10:34:17;65268
733,	LEFT		10:34:17;65285
734,	LEFT		10:34:17;65304
735,	LEFT		10:34:17;65319
736,	LEFT		10:34:17;65336
737,	LEFT		10:34:17;65354
738,	LEFT		10:34:17;65368
739,	LEFT		10:34:17;65385
740,	LEFT		10:34:17;65403
741,	LEFT		10:34:17;65417
742,	LEFT		10:34:17;65433
743,	LEFT		10:34:17;65452
744,	LEFT		10:34:17;65466
745,	LEFT		10:34:17;65482
746,	LEFT		10:34:17;65500
747,	LEFT		10:34:17;65516
748,	LEFT		10:34:17;65533
749,	LEFT		10:34:17;65551
750,	LEFT		10:34:17;65567
751,	LEFT		10:34:17;65583
752,	LEFT		10:34:17;65601
753,	LEFT		10:34:17;65617
754,	LEFT		10:34:17;65635
755,	LEFT		10:34:17;65650
756,	LEFT		10:34:17;65665
757,	LEFT		10:34:17;65681
758,	LEFT		10:34:17;65702
759,	LEFT		10:34:17;65716
760,	LEFT		10:34:17;65733
761,	LEFT		10:34:17;65754
762,	LEFT		10:34:17;65768
763,	LEFT		10:34:17;65786
764,	LEFT		10:34:17;65800
765,	LEFT		10:34:17;65816
766,	LEFT		10:34:17;65833
767,	LEFT		10:34:17;65851
768,	LEFT		10:34:17;65866
769,	LEFT		10:34:17;65884
770,	LEFT		10:34:17;65902
771,	LEFT		10:34:17;65916
772,	LEFT		10:34:17;65933
773,	LEFT		10:34:17;65952
774,	LEFT		10:34:17;65966
775,	LEFT		10:34:18;65983
776,	LEFT		10:34:18;66001
777,	LEFT		10:34:18;66017
778,	LEFT		10:34:18;66033
779,	LEFT		10:34:18;66052
780,	LEFT		10:34:18;66066
781,	LEFT		10:34:18;66082
782,	LEFT		10:34:18;66101
783,	RIGHT		10:34:18;66116
784,	RIGHT		10:34:18;66133
785,	RIGHT		10:34:18;66151
786,	RIGHT		10:34:18;66166
787,	RIGHT		10:34:18;66183
788,	RIGHT		10:34:18;66202
789,	RIGHT		10:34:18;66217
790,	RIGHT		10:34:18;66233
791,	RIGHT		10:34:18;66252
792,	RIGHT		10:34:18;66266
793,	RIGHT		10:34:18;66283
794,	RIGHT		10:34:18;66301
795,	RIGHT		10:34:18;66316
796,	RIGHT		10:34:18;66333
797,	RIGHT		10:34:18;66353
798,	RIGHT		10:34:18;66367
799,	RIGHT		10:34:18;66382
800,	RIGHT		10:34:18;66400
801,	RIGHT		10:34:18;66416
802,	RIGHT		10:34:18;66432
803,	RIGHT		10:34:18;66451
804,	RIGHT		10:34:18;66466
805,	RIGHT		10:34:18;66483
806,	RIGHT		10:34:18;66501
807,	RIGHT		10:34:18;66517
808,	RIGHT		10:34:18;66532
809,	RIGHT		10:34:18;66552
810,	RIGHT		10:34:18;66566
811,	RIGHT		10:34:18;66582
812,	RIGHT		10:34:18;66600
813,	RIGHT		10:34:18;66616
814,	RIGHT		10:34:18;66634
815,	RIGHT		10:34:18;66651
816,	RIGHT		10:34:18;66667
817,	RIGHT		10:34:18;66682
818,	RIGHT		10:34:18;66701
819,	RIGHT		10:34:18;66717
820,	RIGHT		10:34:18;66733
821,	RIGHT		10:34:18;66752
822,	RIGHT		10:34:18;66767
823,	RIGHT		10:34:18;66782
824,	RIGHT		10:34:18;66801
825,	RIGHT		10:34:18;66817
826,	RIGHT		10:34:18;66833
827,	RIGHT		10:34:18;66852
828,	RIGHT		10:34:18;66866
829,	RIGHT		10:34:18;66883
830,	RIGHT		10:34:18;66901
831,	RIGHT		10:34:18;66917
832,	RIGHT		10:34:18;66933
833,	RIGHT		10:34:18;66951
834,	RIGHT		10:34:18;66967
835,	RIGHT		10:34:19;66983
836,	RIGHT		10:34:19;67002
837,	RIGHT		10:34:19;67017
838,	RIGHT		10:34:19;67033
839,	RIGHT		10:34:19;67052
840,	RIGHT		10:34:19;67066
