No, Fokus, Waktu
317, UP, 10:43:31;35360
318, UP, 10:43:31;35376
319, UP, 10:43:31;35394
320, UP, 10:43:31;35411
321, UP, 10:43:31;35428
322, UP, 10:43:31;35445
323, UP, 10:43:31;35461
324, UP, 10:43:31;35476
325, UP, 10:43:31;35494
326, UP, 10:43:31;35510
327, UP, 10:43:31;35526
328, UP, 10:43:31;35546
329, UP, 10:43:31;35561
330, UP, 10:43:31;35577
331, UP, 10:43:31;35595
332, UP, 10:43:31;35613
333, UP, 10:43:31;35630
334, UP, 10:43:31;35646
335, UP, 10:43:31;35662
336, UP, 10:43:31;35679
337, UP, 10:43:31;35696
338, UP, 10:43:31;35711
339, UP, 10:43:31;35728
340, UP, 10:43:31;35744
341, UP, 10:43:32;35763
342, UP, 10:43:32;35779
343, UP, 10:43:32;35796
344, UP, 10:43:32;35811
345, UP, 10:43:32;35827
346, UP, 10:43:32;35845
347, UP, 10:43:32;35862
348, UP, 10:43:32;35878
349, UP, 10:43:32;35895
350, UP, 10:43:32;35913
351, UP, 10:43:32;35929
352, UP, 10:43:32;35947
353, UP, 10:43:32;35961
354, UP, 10:43:32;35977
355, UP, 10:43:32;35996
356, UP, 10:43:32;36011
357, UP, 10:43:32;36028
358, UP, 10:43:32;36046
359, UP, 10:43:32;36064
360, UP, 10:43:32;36079
361, UP, 10:43:32;36097
362, UP, 10:43:32;36111
363, UP, 10:43:32;36127
364, UP, 10:43:32;36144
365, UP, 10:43:32;36163
366, UP, 10:43:32;36179
367, UP, 10:43:32;36197
368, UP, 10:43:32;36212
369, RIGHT, 10:43:32;36229
370, RIGHT, 10:43:32;36245
371, RIGHT, 10:43:32;36264
372, RIGHT, 10:43:32;36278
373, RIGHT, 10:43:32;36294
374, RIGHT, 10:43:32;36314
375, RIGHT, 10:43:32;36328
376, RIGHT, 10:43:32;36344
377, RIGHT, 10:43:32;36362
378, RIGHT, 10:43:32;36378
379, RIGHT, 10:43:32;36397
380, RIGHT, 10:43:32;36411
381, RIGHT, 10:43:32;36427
382, RIGHT, 10:43:32;36444
383, RIGHT, 10:43:32;36461
384, RIGHT, 10:43:32;36478
385, RIGHT, 10:43:32;36496
386, RIGHT, 10:43:32;36511
387, RIGHT, 10:43:32;36527
388, RIGHT, 10:43:32;36546
389, RIGHT, 10:43:32;36561
390, RIGHT, 10:43:32;36577
391, RIGHT, 10:43:32;36595
392, RIGHT, 10:43:32;36613
393, RIGHT, 10:43:32;36629
394, RIGHT, 10:43:32;36647
395, RIGHT, 10:43:32;36663
396, RIGHT, 10:43:32;36679
397, RIGHT, 10:43:32;36699
398, RIGHT, 10:43:32;36712
399, RIGHT, 10:43:32;36729
