%0o,	Fokus, Waktu
428, 1, 13:44:53.771
429, 1, 13:44:53.788
430, 1, 13:44:53.803
431, 1, 13:44:53.821
432, 1, 13:44:53.837
433, 1, 13:44:53.853
434, 1, 13:44:53.871
435, 1, 13:44:53.888
436, 1, 13:44:53.904
437, 1, 13:44:53.921
438, 1, 13:44:53.937
439, 1, 13:44:53.953
440, 1, 13:44:53.970
441, 1, 13:44:53.988
442, 1, 13:44:54.004
443, 1, 13:44:54.021
444, 1, 13:44:54.038
445, 1, 13:44:54.054
446, 1, 13:44:54.071
447, 1, 13:44:54.088
448, 1, 13:44:54.104
449, 1, 13:44:54.120
450, 1, 13:44:54.137
451, 1, 13:44:54.153
452, 1, 13:44:54.171
453, 1, 13:44:54.187
454, 1, 13:44:54.204
455, 1, 13:44:54.220
456, 1, 13:44:54.237
457, 1, 13:44:54.253
458, 1, 13:44:54.270
459, 1, 13:44:54.288
460, 1, 13:44:54.304
461, 1, 13:44:54.320
462, 1, 13:44:54.338
463, 1, 13:44:54.355
464, 1, 13:44:54.371
465, 1, 13:44:54.388
466, 1, 13:44:54.403
467, 1, 13:44:54.421
468, 1, 13:44:54.437
469, 1, 13:44:54.454
470, 1, 13:44:54.471
471, 1, 13:44:54.487
472, 1, 13:44:54.503
473, 1, 13:44:54.520
474, 1, 13:44:54.537
475, 1, 13:44:54.553
476, 1, 13:44:54.571
477, 1, 13:44:54.588
478, 1, 13:44:54.604
479, 1, 13:44:54.621
480, 1, 13:44:54.637
481, 1, 13:44:54.653
482, 1, 13:44:54.671
483, 1, 13:44:54.687
484, 1, 13:44:54.703
485, 1, 13:44:54.721
486, 1, 13:44:54.738
487, 1, 13:44:54.753
488, 0, 13:44:54.771
489, 0, 13:44:54.787
490, 0, 13:44:54.803
491, 0, 13:44:54.821
492, 0, 13:44:54.838
493, 0, 13:44:54.854
494, 0, 13:44:54.871
495, 0, 13:44:54.887
496, 0, 13:44:54.903
497, 0, 13:44:54.921
498, 0, 13:44:54.937
499, 0, 13:44:54.953
500, 0, 13:44:54.971
501, 0, 13:44:54.987
502, 0, 13:44:55.003
503, 0, 13:44:55.021
504, 0, 13:44:55.037
505, 0, 13:44:55.053
506, 0, 13:44:55.071
507, 0, 13:44:55.088
508, 0, 13:44:55.104
509, 0, 13:44:55.121
510, 0, 13:44:55.138
511, 0, 13:44:55.154
512, 0, 13:44:55.171
513, 0, 13:44:55.187
514, 0, 13:44:55.203
515, 0, 13:44:55.221
516, 0, 13:44:55.237
517, 0, 13:44:55.253
518, 0, 13:44:55.270
519, 0, 13:44:55.288
520, 0, 13:44:55.304
521, 0, 13:44:55.321
522, 0, 13:44:55.338
523, 0, 13:44:55.354
524, 0, 13:44:55.370
525, 0, 13:44:55.387
526, 0, 13:44:55.404
527, 0, 13:44:55.421
528, 0, 13:44:55.437
529, 0, 13:44:55.454
530, 0, 13:44:55.470
531, 0, 13:44:55.487
532, 0, 13:44:55.504
533, 0, 13:44:55.522
534, 0, 13:44:55.538
535, 0, 13:44:55.553
536, 0, 13:44:55.570
537, 0, 13:44:55.587
538, 0, 13:44:55.603
539, 0, 13:44:55.620
540, 0, 13:44:55.637
541, 0, 13:44:55.654
542, 0, 13:44:55.671
543, 0, 13:44:55.688
544, 0, 13:44:55.704
545, 0, 13:44:55.720
546, 0, 13:44:55.737
547, 0, 13:44:55.753
548, 0, 13:44:55.770
549, 0, 13:44:55.787
550, 0, 13:44:55.803
551, 0, 13:44:55.821
552, 0, 13:44:55.838
553, 0, 13:44:55.854
554, 0, 13:44:55.870
555, 0, 13:44:55.887
556, 0, 13:44:55.903
557, 0, 13:44:55.920
558, 0, 13:44:55.937
559, 0, 13:44:55.954
560, 0, 13:44:55.971
561, 0, 13:44:55.987
562, 0, 13:44:56.004
563, 0, 13:44:56.020
564, 0, 13:44:56.038
565, 0, 13:44:56.053
566, 0, 13:44:56.071
567, 0, 13:44:56.087
568, 0, 13:44:56.104
569, 0, 13:44:56.120
570, 0, 13:44:56.138
571, 0, 13:44:56.154
572, 0, 13:44:56.171
573, 0, 13:44:56.187
574, 0, 13:44:56.204
575, 0, 13:44:56.220
576, 0, 13:44:56.237
577, 0, 13:44:56.253
578, 0, 13:44:56.271
579, 0, 13:44:56.288
580, 0, 13:44:56.303
581, 0, 13:44:56.320
582, 0, 13:44:56.338
583, 0, 13:44:56.354
584, 0, 13:44:56.371
585, 0, 13:44:56.387
586, 0, 13:44:56.403
